20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070523135349AAF5p4o	Entertainment & Music;Other - Entertainment	O que é ser Sarcástico?	Que significa essa baga?a ?
20070903211645AAVyNFi	Entertainment & Music;Polls & Surveys	Hmm...you look guilty & suspicious...What evil conspiracy are you planning this time?	N/A
20070520130246AABzRhE	Entertainment & Music;Other - Entertainment	Tirando o YR, qual o site que vc mais gosta? Justifique sua resposta.?	N/A
20070607111308AAo0WI3	Entertainment & Music;Polls & Surveys	Are There Some Things That You Still Have Difficulty Admittiing To Yourself..??	N/A
20070518230240AATE4fq	Entertainment & Music;Movies	El Se?or de Los Anillos...?	Sé que ha pasado ya un buen tiempo desde el éxito de esta saga, pero, el otro día pensando se me ocurrió una pregunta (hipotética, por supuesto, y algo tonta...) con respecto a la misma y quería compartirla con ustedes... Es la siguiente:      ?Qué le dirías a Sauron si por casualidad te encontraras con él?      10 puntos a la respuesta más creativa y graciosa!!! Desde ya, muchas gracias por su tiempo!!! Saludos y Suerte!!!
20070629102413AAfSE5n	Entertainment & Music;Comics & Animation	Trivia caricaturas de los 80's y mas?	1.-Como se llamaba el águila de Birrrrrmmaannnnn   2.-Menciona un enemigo de Fabulman   3.-Nombre de la peliroja guapisima de Scooby Doo   4.-Que nombre pusieron a el bb q encontraron en Don Gato y su pandilla   5.-Enemiga de Sport Billy   salu2 amig@s
20070507215634AAhvvsu	Entertainment & Music;Polls & Surveys	Would you ever attend a star wars convention ?	i wouldn't go anywhere near that place...too many freaks.
20070711073452AA24lvg	Entertainment & Music;Polls & Surveys	Cuantas preguntas eliminadas tienes??	yo?  nadamas 20  =P
20070818081333AA6IHFa	Entertainment & Music;Polls & Surveys	Wen würdest du als deinen pers?nlichen Bodyguard einstellen?	N/A
20070711012104AA0m398	Entertainment & Music;Polls & Surveys	Alguna vez te has encontrado una moneda, te das cuenta que esta pegada al piso y te hace pasar verguenza?	N/A
20070808163739AAMufK9	Entertainment & Music;Music;Other - Music	Do you know this song? Dance song? Usually played on z103.5?	Goes something like..      something something so sweet...   run away, run away...from me   I remember those days from....last summmeer      Kind of a reggae voice...with a dance beat
20070528142945AAvFCxF	Entertainment & Music;Polls & Surveys	Wenn ihr einen Moment eurer Kindheit zurückbekommen k?nntet, welcher w?re es?	N/A
20070903210532AAdwd9H	Entertainment & Music;Polls & Surveys	So tell me....?	what is your goal in life.....
20070705131731AA6Uezj	Entertainment & Music;Polls & Surveys	Donde son más hermosos los atardeceres ???	N/A
20070523180131AAtF1fB	Entertainment & Music;Jokes & Riddles	Gallegos en el cine!!!?	Manolo y Venancio entran al cine a ver Apolo 13. En el momento crucial, el actor principal dice:   - "Houston, tenemos un problema..."   Y Venancio le murmura a Manolo:   - "?Cómo no van a tener un problema si viene pilotando Forrest Gump!"   ---   Una soltera se entera que una amiga suya habia quedado embarazada solo con un ave maría en la iglesia de un pueblo vecino. Unos días despues decide ir a esa iglesia con el deseo de quedar encinta al igual que su amiga.      - Bueno días padre, saluda la soltera.   - Buenos días hija, ?en que puedo ayudarte?   - Fijese padre que me enteré que una mi amiga vino aquí y quedó embarazada con un ave maría.   - No hija, fue con un padre nuestro, pero ya lo despedimos   ---   je je je
20070629140248AAepvUc	Entertainment & Music;Movies	Como se llama la primera parte de 28 semanas porfis?	si me pueden dar la pagina mejor gracias =)
20070507055200AA8cbl9	Entertainment & Music;Polls & Surveys	Per i ragazzi...?	preferite le ragazze che si concedono subito al primo appuntamento o quelle che vi fanno aspettare un po'??    Mi raccomando siate sinceri...
20070712003334AAiQcHp	Entertainment & Music;Polls & Surveys	Why are you god's gift to the world?	And where's the friggin bow and fancy wrapping! I demand fancy wrapping and bows!!!!!!!!!!!!
20070713150243AA8vCVd	Entertainment & Music;Polls & Surveys	??? Hola chicos !!!... les presento a mi peluche.!!!?	... como hoy es día de mostrar a nuestra mascotita, les presento a mi Golden Retriever... se llama Oby de la Reguera (jejejeje eso dicen los papeles que tiene en su billetera personal xD)... en la primera foto es cuando erá bebé aun (un poquito más)... le estoy haciendo cosquilitas!!... La segunda es un poquito más grande con la seriedad que lo caracteriza en momentos críticos (estaba esperando su dog chow!!! xD xD)....   Su inteligencia y dulzura es increíble... nos ha llenado la vida!!... Oby les manda un saludo a todos y les invita a ver sus fotos en mi 360...    http://360.yahoo.com/profile-s4PErsozeqQ...       Besos!!!
20070712135326AAZX5ld	Entertainment & Music;Polls & Surveys	Cuando te despiertas, eres de los que se aferran a los famosos 5 munutos mas?	yo si ,y aveces hasta mas, es el sue?o mas rico jajajajaja
20070613173058AAbqYZh	Entertainment & Music;Polls & Surveys	Are you guys awake?	i must be writing at the wrong time of day :)
20070526233131AAADC0u	Entertainment & Music;Horoscopes	Chances of these romantic partners working out:?	Sagitarrius male and capricorn female.
20070514100019AA2Lllz	Entertainment & Music;Music;Other - Music	Tecnica o originalità?	Preferite un gruppo tecnico o originale?
20070625211812AAznIRN	Entertainment & Music;Comics & Animation	In the all of the latest Spiderman installments...how come there hasn't been any female enemy?	N/A
20070525002438AAkkjqh	Entertainment & Music;Movies	Movie clips?	hi  I am doing this project for my class, where I need to get a couple of very short movie clips of violence, or killing fighting  from some of the current movies...put a couple of them together for about 2 minutes of action movie clips...anyone know a website where I can download free short movie clips like that? best website will get 10 points thanks
20070509134246AA2XKS1	Entertainment & Music;Music	Music sheet for Vietnamese songs?	Hello everyone, does anyone know a website with music sheets for classical guitar songs? and Vietnamese songs (both traditional and mordern)...music sheets with notes though because I donot know how to read tabs...thankyou very much
20070607201823AA2cLa7	Entertainment & Music;Movies	What movie to watch right now?	I have:   The Machinist   Lawrence of Arabia   Citizen Kane   The Day After Tomorrow   The Cooler
20070731202127AA7LjjS	Entertainment & Music;Music;Rock and Pop	Qual música do Led Zeppelin você mais gosta?	N/A
20070731202234AA04SOU	Entertainment & Music;Music;Rock and Pop	Qual é o nome do grupo que canta Passion of lovers?	N/A
20070731202314AAnsCrK	Entertainment & Music;Music;Rock and Pop	Isolation é música de qual grupo?	N/A
20070731202401AA8NMeE	Entertainment & Music;Music;Rock and Pop	Outra manh?  uma msica de que grupo nacional?	N/A
20070731202433AAoki1h	Entertainment & Music;Music;Rock and Pop	Mundo eletr?nico é de que grupo?	N/A
20070801031815AAVUgnS	Entertainment & Music;Music;Rock and Pop	De quem é a música Ivo?	N/A
20070801032151AAlIt8I	Entertainment & Music;Music;Rock and Pop	Qual banda dos anos 80 veio cantar no clube Monte Líbano?	N/A
20070610171221AAjp3kq	Entertainment & Music;Movies	Does anyone know this movie set in early australia?	I am looking for the title of a movie set in Early Australia.  It is sort of a love story about a group of English men and women sent to Australia to serve out their prison sentances.  The story centers on one man and woman in particular.  It was mostly about how they struggled to survive and eventually fell in love.  It was also about the founding of Australia.  I saw it on TV in the late 70's or early 80's I think.
20070508163140AAzuUMC	Entertainment & Music;Other - Entertainment	O que é isto Pessoal!!!....?	Ainda bem que os bebês n?o entendem o que ouvem n?o é?, rsss   Já pensaram se eles entendessem “nossas” can??es de ninar:      Nana nenê que a CUCA vem pegar, rssssss   Papai foi no ro?a, mam?e já volta já, rsssss...   ...já imaginaram, a pobre criancinha, está sozinha, com o papai na ro?a e a m?e que já vem já, mas e a CUCA....vai pegar???, kkkkkkkkkkkkk      ps:  “parafrasiando” um dos nossos amigos...      Cuidado Heim...rssss       ...entrem no clima, é apenas uma brincadeira... os mal humorados n?o precisam responder...       Boa noite a todos!!!
20070511100133AAIiMTm	Entertainment & Music;Music;Rock and Pop	Qual a melhor musica de Eric Clapton?	N/A
20070725193042AA5h8sH	Entertainment & Music;Movies	Eliminacin de HONGOS en las cintas de VHS?	Tengo unas cintas de VHS, con alguna informacin importante para m, pero se presenta el problema , que en algunas oportunidades, se  ensucia el lector del VHS, debido a hongos en la cinta. ?Existe algun medio de eliminar este hongo? Gracias anticipadas, para quien  me ayude.
20070808164347AAXrQiH	Entertainment & Music;Movies	METODO para eliminar HONGOS  en las cintas de VHS?	En realidad esta no es una pregunta  sino la soluciòn que encontrè a èste problema. Hace  varios dìas realizè la pregunta y  nadie diò con la respuesta correcta , pues se limitaban a indicarme como limpiar el cabezal ; en vista de que otroa usuarios se acrecaròn a la pregunta demostrando un problema similar les  inbdicco lo que averiguè:  1)  Usar un REBOBINADOR  y pasar  totalmente la cinta varias  veces  2)  Colocar la cinta en un stio dondfe reciba una temperatura moderada  (me imagino que al sol) y ahora si se puede ver.  SUERYTE y que les sirva.  SALUDOS
20070508134535AAIDyKf	Entertainment & Music;Polls & Surveys	Are HEELEYS worth it?	i want them REALLY bad and my mom says i shouldn't get them because you can't wear themto school. Our school lets us wear them. Is it worth it and i dont care if summer is coming up.... your opinion.
20070508204320AAzsyb0	Entertainment & Music;Movies	What is the theme song for Spiderman 3?	I'm thinking it was sung by Snow Patrol...anybody can help me?
20070826125953AAESPVC	Entertainment & Music;Music;Rock and Pop	"PESSOARR:" MASSIVE ATTACK, QUAL é a MúSICA PREFERIDA DE VCS?	 http://br.youtube.com/watch?v=jZsHNkAJBD...       ESSA é UMA DAS MINHAS PREFERIDAS!      BJKS GALERA E LALALALA????
20070507154222AAnsGiF	Entertainment & Music;Music	Joy Division o Sister of Mercy?	N/A
20070926160515AAeHhQs	Entertainment & Music;Polls & Surveys	Se pudesse, quem você mandaria para Marte ?	Com passagem só de ida, que fique bem claro.... kkkkkk      Beijos, for?a e paz para todos os meus lindinhos brasileirinhos !
20070928104601AAg4QAv	Entertainment & Music;Polls & Surveys	Gente, existe uma dieta que realmente funcione ?	Ou s existe aquela: fecha a boca e passa fome ?  rsrsrs    Beijos, for?a e paz para todos os meus lindinhos brasileiirnhos !
20070914081745AAisfV3	Entertainment & Music;Polls & Surveys	E se, no auge da paix?o, quando você vai se declarar à pessoa.....(continua)?	Surge uma ?concorrência? no seu caminho ?      Você assume sua paix?o, se declarando a pessoa ou fica na sua, esperando pra ver o que vai acontecer ?      Beijos, for?a e paz para todos os meus lindinhos brasileirinhos !
20070605152503AA4a3Ty	Entertainment & Music;Celebrities	Que opinan de Ingrid Coronado, a mi me parece que esta super buena....90 60 92 y ademas simpatica...?	N/A
20070621151728AALq5Sa	Entertainment & Music;Music;Other - Music	Porque vizinhos n?o gostam da gente tocando? eles deviam dormir tranquilos.... kkkkkk?	Esses caras n?o sabem nada sobre tocar como as tribos da Terra....       http://www.youtube.com/watch?v=SZqwvjwqw...        http://www.youtube.com/watch?v=IPiAWfprC...        http://www.youtube.com/watch?v=APVgugebn...       E ESSE MULEQUE...    http://www.youtube.com/watch?v=J6T4OwacR... 
